guests,Price_Night,Value_rate,amenities_count
2.0,105.0,4.3,13.0
3.0,92.0,4.5,8.0
4.0,52.0,4.7,51.0
2.0,132.0,4.6,23.0
4.0,143.0,4.7,32.0
6.0,94.0,4.3,31.0
4.0,247.0,4.4,24.0
3.0,104.0,4.4,10.0
5.0,106.0,4.1,10.0
2.0,126.0,4.8,8.0
5.0,110.0,4.7,10.0
2.0,85.0,4.5,8.0
4.0,174.0,4.8,33.0
2.0,139.0,4.9,35.0
5.0,96.0,4.9,12.0
8.0,141.0,4.7,15.0
2.0,309.0,4.6,36.0
2.0,130.0,4.7,13.0
4.0,499.0,5.0,39.0
4.0,670.0,4.8,15.0
3.0,168.0,4.9,50.0
4.0,149.0,4.9,35.0
2.0,280.0,4.8,36.0
4.0,171.0,4.8,43.0
4.0,238.0,4.6,28.0
2.0,99.0,5.0,16.0
2.0,413.0,4.8,30.0
7.0,206.0,4.7,25.0
4.0,123.0,4.7,42.0
2.0,125.0,4.9,17.0
2.0,130.0,4.9,42.0
6.0,222.0,4.8,28.0
8.0,212.0,4.9,38.0
2.0,151.0,4.9,52.0
4.0,149.0,4.8,34.0
6.0,249.0,4.6,33.0
4.0,101.0,4.9,38.0
6.0,311.0,4.8,50.0
4.0,53.0,4.6,38.0
4.0,179.0,4.8,30.0
2.0,188.0,4.8,41.0
2.0,66.0,4.8,29.0
6.0,134.0,4.8,40.0
2.0,148.0,4.8,22.0
2.0,224.0,4.8,34.0
2.0,135.0,4.7,21.0
2.0,138.0,4.8,23.0
2.0,161.0,4.7,84.0
2.0,107.0,4.7,15.0
2.0,184.0,4.9,13.0
2.0,112.0,4.9,38.0
2.0,94.0,5.0,24.0
4.0,61.0,4.8,28.0
2.0,295.0,4.9,43.0
2.0,58.0,4.9,30.0
4.0,60.0,4.9,45.0
2.0,91.0,4.9,21.0
2.0,153.0,4.9,35.0
2.0,112.0,4.7,69.0
3.0,170.0,4.7,29.0
2.0,201.0,5.0,24.0
6.0,49.0,4.8,27.0
4.0,103.0,4.9,22.0
7.0,270.0,4.8,43.0
2.0,197.0,4.7,41.0
2.0,44.0,4.5,30.0
3.0,138.0,4.8,27.0
2.0,54.0,4.8,27.0
4.0,422.0,5.0,29.0
4.0,218.0,4.8,30.0
4.0,157.0,4.9,48.0
2.0,105.0,4.7,27.0
4.0,137.0,4.6,39.0
4.0,139.0,4.7,28.0
2.0,100.0,5.0,43.0
4.0,98.0,4.7,31.0
4.0,98.0,4.8,48.0
3.0,223.0,4.7,34.0
4.0,230.0,5.0,32.0
4.0,140.0,4.8,24.0
4.0,297.0,4.7,36.0
2.0,212.0,4.8,34.0
4.0,500.0,4.6,19.0
4.0,137.0,4.8,38.0
5.0,127.0,4.3,41.0
2.0,73.0,4.7,26.0
2.0,101.0,4.9,10.0
2.0,56.0,4.7,18.0
4.0,199.0,4.8,35.0
2.0,38.0,4.8,19.0
4.0,211.0,4.8,39.0
2.0,112.0,4.9,33.0
4.0,141.0,4.8,30.0
2.0,82.0,4.9,31.0
2.0,71.0,4.8,27.0
8.0,73.0,4.8,44.0
3.0,128.0,4.8,28.0
5.0,500.0,4.3,18.0
4.0,145.0,4.8,18.0
3.0,84.0,5.0,38.0
4.0,107.0,4.4,14.0
2.0,71.0,4.6,33.0
2.0,36.0,5.0,30.0
2.0,36.0,4.8,27.0
6.0,210.0,4.7,49.0
14.0,395.0,4.8,37.0
4.0,40.0,4.6,4.0
4.0,43.0,5.0,24.0
2.0,122.0,4.9,23.0
4.0,77.0,4.9,32.0
2.0,92.0,4.8,32.0
2.0,86.0,4.8,42.0
4.0,92.0,4.2,20.0
8.0,510.0,4.5,14.0
2.0,68.0,4.9,48.0
4.0,105.0,4.9,31.0
2.0,39.0,4.8,38.0
4.0,474.0,4.9,31.0
4.0,63.0,4.8,16.0
4.0,102.0,4.4,21.0
4.0,482.0,4.9,67.0
2.0,66.0,4.8,58.0
4.0,121.0,4.5,35.0
2.0,40.0,4.9,32.0
3.0,43.0,4.9,3.0
4.0,368.0,4.0,23.0
4.0,73.0,4.8,22.0
4.0,46.0,4.5,25.0
3.0,10.0,4.7,10.0
2.0,122.0,4.9,24.0
5.0,46.0,4.8,21.0
2.0,98.0,4.3,43.0
2.0,139.0,4.5,21.0
3.0,61.0,4.9,25.0
2.0,72.0,4.5,19.0
4.0,79.0,4.7,19.0
2.0,19.0,4.8,26.0
7.0,116.0,4.3,18.0
5.0,34.0,4.7,16.0
2.0,128.0,4.6,50.0
4.0,63.0,4.8,12.0
4.0,95.0,4.8,13.0
2.0,44.0,4.7,29.0
4.0,43.0,5.0,3.0
2.0,82.0,4.7,15.0
6.0,161.0,4.8,25.0
6.0,161.0,4.8,40.0
3.0,91.0,5.0,35.0
4.0,238.0,4.5,16.0
8.0,432.0,4.8,22.0
2.0,50.0,4.5,6.0
2.0,62.0,4.8,31.0
2.0,44.0,5.0,15.0
2.0,42.0,4.8,12.0
16.0,382.0,4.7,51.0
2.0,57.0,4.8,6.0
4.0,434.0,4.4,26.0
4.0,122.0,4.2,21.0
4.0,33.0,4.8,36.0
4.0,99.0,5.0,53.0
6.0,52.0,4.7,16.0
7.0,151.0,4.7,29.0
2.0,49.0,4.7,25.0
4.0,121.0,4.8,21.0
2.0,193.0,4.8,48.0
4.0,238.0,4.6,28.0
2.0,147.0,4.8,42.0
2.0,105.0,4.6,41.0
2.0,104.0,5.0,32.0
2.0,102.0,4.8,43.0
2.0,124.0,4.9,30.0
6.0,137.0,4.8,38.0
2.0,14.0,4.8,23.0
2.0,100.0,4.8,22.0
3.0,113.0,4.9,30.0
